A long operational dump from the overnight run. Record what a later
waking would actually need; most of this is nominal.

  [001] cache warm hit ratio 0.91 shard-1 nominal, no action
  [112] cache warm hit ratio 0.92 shard-5 nominal, no action
  [113] cache warm hit ratio 0.93 shard-6 nominal, no action
  [114] cache warm hit ratio 0.94 shard-0 nominal, no action
  [115] cache warm hit ratio 0.95 shard-1 nominal, no action
  [116] cache warm hit ratio 0.96 shard-2 nominal, no action
  [117] cache warm hit ratio 0.97 shard-3 nominal, no action
  [118] cache warm hit ratio 0.98 shard-4 nominal, no action
  [119] cache warm hit ratio 0.99 shard-5 nominal, no action
  [120] cache warm hit ratio 0.90 shard-6 nominal, no action
  [121] cache warm hit ratio 0.91 shard-0 nominal, no action
  [122] cache warm hit ratio 0.92 shard-1 nominal, no action
  [123] cache warm hit ratio 0.93 shard-2 nominal, no action
  [124] cache warm hit ratio 0.94 shard-3 nominal, no action
  [125] cache warm hit ratio 0.95 shard-4 nominal, no action
  [126] cache warm hit ratio 0.96 shard-5 nominal, no action
  [127] cache warm hit ratio 0.97 shard-6 nominal, no action
  [128] cache warm hit ratio 0.98 shard-0 nominal, no action
  [129] cache warm hit ratio 0.99 shard-1 nominal, no action
  [130] cache warm hit ratio 0.90 shard-2 nominal, no action
  [131] cache warm hit ratio 0.91 shard-3 nominal, no action
  [132] cache warm hit ratio 0.92 shard-4 nominal, no action
  [133] cache warm hit ratio 0.93 shard-5 nominal, no action
  [134] cache warm hit ratio 0.94 shard-6 nominal, no action
  [135] cache warm hit ratio 0.95 shard-0 nominal, no action
  [136] cache warm hit ratio 0.96 shard-1 nominal, no action
  [137] cache warm hit ratio 0.97 shard-2 nominal, no action
  [138] cache warm hit ratio 0.98 shard-3 nominal, no action
  [139] cache warm hit ratio 0.99 shard-4 nominal, no action
  [140] cache warm hit ratio 0.90 shard-5 nominal, no action
  [141] cache warm hit ratio 0.91 shard-6 nominal, no action
  [142] cache warm hit ratio 0.92 shard-0 nominal, no action
  [143] cache warm hit ratio 0.93 shard-1 nominal, no action
  [144] cache warm hit ratio 0.94 shard-2 nominal, no action
  [145] cache warm hit ratio 0.95 shard-3 nominal, no action
  [146] cache warm hit ratio 0.96 shard-4 nominal, no action
  [147] cache warm hit ratio 0.97 shard-5 nominal, no action
  [148] cache warm hit ratio 0.98 shard-6 nominal, no action
  [149] cache warm hit ratio 0.99 shard-0 nominal, no action
  [150] cache warm hit ratio 0.90 shard-1 nominal, no action
  [151] cache warm hit ratio 0.91 shard-2 nominal, no action
  [152] cache warm hit ratio 0.92 shard-3 nominal, no action
  [153] cache warm hit ratio 0.93 shard-4 nominal, no action
  [154] cache warm hit ratio 0.94 shard-5 nominal, no action
  [155] cache warm hit ratio 0.95 shard-6 nominal, no action
  [156] cache warm hit ratio 0.96 shard-0 nominal, no action
  [157] cache warm hit ratio 0.97 shard-1 nominal, no action
  [158] cache warm hit ratio 0.98 shard-2 nominal, no action
  [159] cache warm hit ratio 0.99 shard-3 nominal, no action
  [160] cache warm hit ratio 0.90 shard-4 nominal, no action
  [122] ERROR checkpoint write refused: disk quota exceeded on /var/self/blobs
  [123] INFO  quota raised to 40Gi by operator kes, checkpoint retried ok
